default;VARSTA * -0,1804027;varsta;industrie;coef_industrie;RDCP;LCH;LCH * -0,1375285;RAIA;ROE;ROA;ROTA;PCA;PCA*-10,2012953;ACD;ACD*0,1306642;AIT;AIT * 0,4853927;ACT;PAT;CAT;coef_RATING
No;-3,4276513;19;COMERT;-0,2060851;0,00;471658,00;-64866,42;0,00;0,00;0,00;0,00;0,29;-2,95;471657,00;61628,68;0,00;0,00;1,00;0,00;1,00;-3244,31
No;-0,7216108;4;SERVICII;-1,9360018;0,00;27224,00;-3744,08;0,15;0,00;0,00;0,00;0,19;-1,94;23696,00;3096,22;0,13;0,06;0,87;0,00;1,00;-652,39
No;-0,5412081;3;SERVICII;-1,9360018;0,00;27224,00;-3744,08;0,15;-0,03;-0,03;0,00;-0,15;1,53;23696,00;3096,22;0,13;0,06;0,87;-0,03;1,00;-648,74
No;-0,3608054;2;PRODUCTIE;-0,5517872;0,00;460,00;-63,26;40,82;0,00;0,00;0,00;0,19;-1,94;11,00;1,44;0,98;0,47;0,02;0,00;1,00;-64,20
No;-2,5256378;14;COMERT;-0,2060851;0,00;433,26;-59,59;0,35;0,01;0,01;0,17;0,07;-0,69;322,05;42,08;0,26;0,12;0,74;0,01;1,00;-20,80
No;-2,3452351;13;COMERT;-0,2060851;0,00;433,26;-59,59;0,35;0,01;0,01;0,17;0,07;-0,69;322,05;42,08;0,26;0,12;0,74;0,01;1,00;-20,62
No;-2,1648324;12;COMERT;-0,2060851;0,00;433,26;-59,59;0,35;0,01;0,01;0,17;0,07;-0,69;322,05;42,08;0,26;0,12;0,74;0,01;1,00;-20,44
No;-0,9020135;5;SERVICII;-1,9360018;0,02;63,28;-8,70;0,87;0,22;0,21;0,64;0,33;-3,39;33,88;4,43;0,46;0,23;0,54;0,21;0,98;-10,28
No;-3,4276513;19;SERVICII;-1,9360018;0,03;38,61;-5,31;2,31;0,29;0,28;0,37;0,10;-1,02;11,65;1,52;0,70;0,34;0,30;0,28;0,97;-9,83
No;-3,0668459;17;SERVICII;-1,9360018;0,09;17,74;-2,44;0,26;0,96;0,63;1,57;0,40;-4,08;14,03;1,83;0,21;0,10;0,79;0,63;0,66;-9,59
No;-3,2472486;18;MEDICAL;-2,0331656;0,58;3,33;-0,46;2,46;0,40;0,20;0,50;0,42;-4,28;0,96;0,13;0,71;0,34;0,29;0,20;0,52;-9,55
No;-3,4276513;19;MEDICAL;-2,0331656;0,15;9,32;-1,28;3,06;0,23;0,16;0,50;0,33;-3,32;2,30;0,30;0,75;0,37;0,25;0,16;0,71;-9,39
No;-3,0668459;17;SERVICII;-1,9360018;-1,88;0,47;-0,06;1,52;-0,05;0,06;0,14;0,42;-4,28;0,19;0,02;0,60;0,29;0,40;0,06;-1,14;-9,03
No;-3,0668459;17;SERVICII;-1,9360018;0,03;34,20;-4,70;2,72;0,24;0,24;0,35;0,08;-0,82;9,19;1,20;0,73;0,35;0,27;0,24;0,97;-8,97
No;-2,7060405;15;SERVICII;-1,9360018;0,39;3,51;-0,48;0,09;0,50;0,36;0,00;0,42;-4,28;3,23;0,42;0,08;0,04;0,92;0,36;0,72;-8,95
No;-2,8864432;16;SERVICII;-1,9360018;0,56;2,76;-0,38;0,07;0,49;0,32;0,00;0,40;-4,08;2,58;0,34;0,07;0,03;0,93;0,32;0,64;-8,91
No;-3,0668459;17;SERVICII;-1,9360018;0,00;289,51;-39,82;0,03;0,00;0,00;0,00;0,08;-0,86;282,10;36,86;0,03;0,01;0,97;0,00;1,00;-8,81
No;-3,2472486;18;SERVICII;-1,9360018;0,23;5,12;-0,70;0,12;0,43;0,36;1,04;0,34;-3,49;4,57;0,60;0,11;0,05;0,89;0,36;0,83;-8,73
No;-2,8864432;16;SERVICII;-1,9360018;0,04;25,75;-3,54;4,00;0,34;0,32;0,39;0,13;-1,33;5,15;0,67;0,80;0,39;0,20;0,32;0,96;-8,63
No;-2,7060405;15;SERVICII;-1,9360018;0,18;6,42;-0,88;8,60;0,18;0,15;0,44;0,35;-3,57;0,67;0,09;0,90;0,43;0,10;0,15;0,84;-8,57
No;-2,7060405;15;SERVICII;-1,9360018;0,75;2,34;-0,32;0,00;0,99;0,57;1,48;0,38;-3,91;2,33;0,30;0,00;0,00;1,00;0,57;0,57;-8,56
No;-2,8864432;16;SERVICII;-1,9360018;-1,79;0,44;-0,06;1,76;-0,05;0,06;0,17;0,39;-3,97;0,16;0,02;0,64;0,31;0,36;0,06;-1,26;-8,52
No;-2,8864432;16;SERVICII;-1,9360018;-3,44;0,71;-0,10;0,02;-0,45;0,18;0,50;0,36;-3,70;0,70;0,09;0,02;0,01;0,98;0,18;-0,41;-8,52
No;-1,9844297;11;SERVICII;-1,9360018;0,05;20,78;-2,86;1,49;0,13;0,12;0,41;0,30;-3,10;8,33;1,09;0,60;0,29;0,40;0,12;0,95;-8,50
No;-2,5256378;14;SERVICII;-1,9360018;0,60;2,66;-0,37;4,06;0,26;0,16;0,42;0,39;-3,94;0,53;0,07;0,80;0,39;0,20;0,16;0,62;-8,31
No;-2,5256378;14;SERVICII;-1,9360018;0,08;13,07;-1,80;0,40;0,86;0,80;2,45;0,32;-3,31;9,37;1,22;0,28;0,14;0,72;0,80;0,92;-8,21
No;-3,0668459;17;SERVICII;-1,9360018;0,34;4,84;-0,67;0,35;0,45;0,28;0,94;0,30;-3,03;3,59;0,47;0,26;0,13;0,74;0,28;0,61;-8,11
No;-3,2472486;18;SERVICII;-1,9360018;1,82;1,62;-0,22;0,14;0,99;0,33;1,16;0,29;-2,93;1,43;0,19;0,12;0,06;0,88;0,33;0,34;-8,09
No;-3,0668459;17;SERVICII;-1,9360018;1,12;1,87;-0,26;0,07;1,00;0,48;1,63;0,29;-2,99;1,74;0,23;0,07;0,03;0,93;0,48;0,48;-7,99
No;-3,2472486;18;SERVICII;-1,9360018;0,88;2,11;-0,29;0,06;0,85;0,45;1,68;0,27;-2,75;2,00;0,26;0,06;0,03;0,94;0,45;0,53;-7,93
No;-2,7060405;15;MEDICAL;-2,0331656;0,23;12,07;-1,66;0,25;0,33;0,12;0,41;0,28;-2,87;9,69;1,27;0,20;0,10;0,80;0,12;0,36;-7,91
No;-3,2472486;18;SERVICII;-1,9360018;0,27;5,48;-0,75;0,35;0,41;0,28;1,08;0,26;-2,61;4,06;0,53;0,26;0,13;0,74;0,28;0,68;-7,89
No;-2,7060405;15;SERVICII;-1,9360018;0,00;299,62;-41,21;0,03;0,00;0,00;0,02;0,02;-0,21;292,00;38,15;0,03;0,01;0,97;0,00;1,00;-7,89
No;-3,2472486;18;SERVICII;-1,9360018;2,07;1,48;-0,20;0,12;0,99;0,32;1,22;0,27;-2,70;1,33;0,17;0,11;0,05;0,89;0,32;0,33;-7,87
No;-2,3452351;13;MEDICAL;-2,0331656;0,31;4,18;-0,58;0,40;0,64;0,49;1,47;0,33;-3,40;2,99;0,39;0,29;0,14;0,71;0,49;0,76;-7,82
No;-3,2472486;18;SERVICII;-1,9360018;2,88;1,34;-0,18;0,01;1,36;0,35;1,38;0,25;-2,60;1,33;0,17;0,01;0,00;0,99;0,35;0,26;-7,79
No;-1,804027;10;SERVICII;-1,9360018;0,28;4,54;-0,62;1,96;0,24;0,18;0,47;0,39;-3,94;1,54;0,20;0,66;0,32;0,34;0,18;0,78;-7,78
No;-1,6236243;9;SERVICII;-1,9360018;0,32;4,11;-0,57;0,11;0,34;0,26;0,64;0,41;-4,18;3,72;0,49;0,10;0,05;0,90;0,26;0,77;-7,78
No;-2,5256378;14;SERVICII;-1,9360018;0,82;2,21;-0,30;0,19;0,66;0,36;0,00;0,32;-3,26;1,85;0,24;0,16;0,08;0,84;0,36;0,55;-7,71
No;-2,1648324;12;SERVICII;-1,9360018;0,12;9,24;-1,27;0,04;0,04;0,03;0,10;0,34;-3,49;8,88;1,16;0,04;0,02;0,96;0,03;0,89;-7,69
No;-2,5256378;14;SERVICII;-1,9360018;6,39;1,22;-0,17;0,04;1,12;0,14;0,46;0,31;-3,18;1,17;0,15;0,03;0,02;0,97;0,14;0,13;-7,64
No;-2,3452351;13;SERVICII;-1,9360018;0,11;10,25;-1,41;0,63;0,85;0,77;2,72;0,28;-2,90;6,28;0,82;0,39;0,19;0,61;0,77;0,91;-7,58
No;-2,7060405;15;SERVICII;-1,9360018;2,98;1,41;-0,19;0,02;0,71;0,17;0,59;0,29;-2,92;1,38;0,18;0,02;0,01;0,98;0,17;0,24;-7,56
No;-4,1492621;23;CONSTRUCTII;-0,8181026;1,27;1,79;-0,25;0,03;0,90;0,40;1,56;0,25;-2,59;1,74;0,23;0,03;0,01;0,97;0,40;0,44;-7,56
No;-3,2472486;18;SERVICII;-1,9360018;0,78;2,28;-0,31;0,02;0,18;0,10;0,02;0,23;-2,35;2,23;0,29;0,02;0,01;0,98;0,10;0,56;-7,54
No;-3,2472486;18;SERVICII;-1,9360018;0,88;6,47;-0,89;3,65;0,22;0,04;0,20;0,20;-2,00;1,39;0,18;0,78;0,38;0,22;0,04;0,17;-7,51
No;-2,3452351;13;SERVICII;-1,9360018;1,86;1,51;-0,21;0,46;1,19;0,42;0,00;0,32;-3,26;1,03;0,14;0,31;0,15;0,69;0,42;0,36;-7,47
No;-2,3452351;13;SERVICII;-1,9360018;-42,25;1,05;-0,14;0,09;-11,72;0,26;0,84;0,31;-3,20;0,96;0,13;0,08;0,04;0,92;0,26;-0,02;-7,46
No;-2,7060405;15;MEDICAL;-2,0331656;0,43;3,34;-0,46;0,00;0,75;0,52;2,00;0,26;-2,68;3,33;0,44;0,00;0,00;1,00;0,52;0,70;-7,44
No;-3,2472486;18;SERVICII;-1,9360018;2,10;1,47;-0,20;0,05;1,00;0,32;1,49;0,22;-2,22;1,41;0,18;0,04;0,02;0,96;0,32;0,32;-7,40
No;-2,5256378;14;MEDICAL;-2,0331656;0,22;15,80;-2,17;0,12;0,42;0,12;0,48;0,25;-2,54;14,08;1,84;0,11;0,05;0,89;0,12;0,28;-7,38
No;-2,8864432;16;CONSTRUCTII;-0,8181026;0,11;10,29;-1,42;0,13;0,13;0,12;0,34;0,34;-3,49;9,07;1,19;0,12;0,06;0,88;0,12;0,90;-7,36
No;-2,3452351;13;SERVICII;-1,9360018;0,62;2,58;-0,35;0,03;0,71;0,45;1,50;0,30;-3,06;2,50;0,33;0,03;0,01;0,97;0,45;0,63;-7,36
No;-3,0668459;17;SERVICII;-1,9360018;0,17;6,78;-0,93;1,02;0,31;0,27;1,29;0,21;-2,10;3,36;0,44;0,50;0,25;0,50;0,27;0,85;-7,35
No;-3,0668459;17;SERVICII;-1,9360018;0,19;6,34;-0,87;0,04;0,39;0,33;1,47;0,22;-2,27;6,07;0,79;0,04;0,02;0,96;0,33;0,85;-7,33
No;-3,2472486;18;SERVICII;-1,9360018;0,17;6,94;-0,95;1,61;0,29;0,25;1,43;0,18;-1,79;2,66;0,35;0,62;0,30;0,38;0,25;0,86;-7,28
No;-1,6236243;9;SERVICII;-1,9360018;0,31;4,19;-0,58;2,01;0,21;0,16;0,45;0,36;-3,62;1,39;0,18;0,67;0,32;0,33;0,16;0,76;-7,25
No;-1,0824162;6;SERVICII;-1,9360018;0,57;2,86;-0,39;0,42;1,00;0,61;1,50;0,41;-4,18;2,01;0,26;0,30;0,14;0,70;0,61;0,61;-7,19
No;-2,7060405;15;SERVICII;-1,9360018;0,41;3,48;-0,48;0,05;0,36;0,25;1,03;0,25;-2,50;3,32;0,43;0,05;0,02;0,95;0,25;0,70;-7,17
No;-2,5256378;14;SERVICII;-1,9360018;0,59;2,57;-0,35;0,27;0,99;0,66;2,48;0,27;-2,71;2,02;0,26;0,21;0,10;0,79;0,66;0,66;-7,15
No;-0,9020135;5;SERVICII;-1,9360018;0,57;3,67;-0,51;0,50;0,95;0,46;1,10;0,42;-4,28;2,45;0,32;0,33;0,16;0,67;0,46;0,48;-7,15
No;-2,8864432;16;SERVICII;-1,9360018;0,57;2,70;-0,37;0,28;1,00;0,65;2,83;0,23;-2,33;2,10;0,27;0,22;0,11;0,78;0,65;0,65;-7,14
No;-0,7216108;4;SERVICII;-1,9360018;0,32;8,88;-1,22;1,00;0,60;0,21;0,00;0,40;-4,08;4,44;0,58;0,50;0,24;0,50;0,21;0,36;-7,14
No;-2,7060405;15;SERVICII;-1,9360018;0,12;9,26;-1,27;0,57;0,87;0,78;3,74;0,21;-2,12;5,91;0,77;0,36;0,18;0,64;0,78;0,90;-7,09
No;-1,4432216;8;SERVICII;-1,9360018;0,34;3,88;-0,53;0,02;0,32;0,24;0,68;0,36;-3,66;3,81;0,50;0,02;0,01;0,98;0,24;0,75;-7,06
No;-3,0668459;17;MEDICAL;-2,0331656;1,98;1,85;-0,25;2,91;0,30;0,08;0,40;0,21;-2,12;0,47;0,06;0,74;0,36;0,26;0,08;0,27;-7,05
No;-1,9844297;11;SERVICII;-1,9360018;0,22;8,61;-1,18;1,90;0,28;0,15;0,57;0,26;-2,65;2,97;0,39;0,66;0,32;0,34;0,15;0,53;-7,05
No;-3,0668459;17;SERVICII;-1,9360018;0,79;2,27;-0,31;0,03;0,85;0,48;2,44;0,20;-2,00;2,22;0,29;0,03;0,01;0,97;0,48;0,56;-7,01
